dsp_cookies_export.user_id,dsp_cookies_export.zeta_user_id,dsp_cookies_export.dt
12611410433203779,"[""1c0a10e0-0e04-4b43-b0c8-29d8b9d45d20:1597881825.33""]",20210625
12649671782572507,"[""6b1d3ad7-da86-4c19-952b-7c5aaa9596cb:1612257170.25""]",20210625
12849428399606713,"[""c20bcbe3-3258-4c48-87b6-1ebfae584bc5:1584061192.41""]",20210625
12880040578892026,"[""577cd902-8c06-4f24-816b-5f223ae5fb83:1620993199.76""]",20210625
12896008938511281,"[""8a41fe75-565c-4e98-92e7-6f7234985d25:1598223002.39""]",20210625
13378194557907579,"[""fbef9de6-bf8b-4d70-aabd-b464d7fb410d:1585572240.94""]",20210625
13386000438468999,"[""85345869-6cec-484e-8dab-b8e69bc354fd:1603729792.9""]",20210625
13395391936399127,"[""9f2352b2-3440-4562-bc49-6814de0647ac:1622808394.23""]",20210625
13447901782801580,"[""a91144c8-c4a7-4dcd-a486-c6a6fb47b67b:1621282996.07""]",20210625
13508195064068191,"[""5066890a-0600-4d64-8265-1ab68afb83c5:1616797270.82""]",20210625
13673287789319750,"[""4ff9c97c-f802-4b1e-a738-b0ad27d0bf48:1600354769.51""]",20210625
13722939412026221,"[""f5eb9318-1eef-4a35-9f8a-293b2d2edfda:1592906804.43""]",20210625
13784346190059355,"[""c4a9ed19-8519-4f10-bcc3-f4bb8b4f6aec:1611802336.27""]",20210625
13962355543802701,"[""393526e2-478f-4081-8ce7-29f4de5bc20c:1581635399.59""]",20210625
14007982826309159,"[""b6346833-4904-4461-bd97-33073907ae56:1602106620.84""]",20210625
14030022213050369,"[""b7bfa957-9b67-453b-8e32-d212b0341803:1606613632.75""]",20210625
14042087067042769,"[""fce67234-f005-4b71-a4ad-d0eddcb8759b:1602913555.54""]",20210625
14042933619065127,"[""4c5245a8-bc15-496c-a28e-efa7ba783dfc:1623718746.52""]",20210625
14240152051527166,"[""a191fad1-c439-463e-8015-726d91f528df:1623275837.74""]",20210625
14285993945994704,"[""3fa66957-fdf7-40c1-af12-ca3401c5e171:1621455967.79""]",20210625
14584791889538186,"[""f39de5f7-4880-4850-927e-67484d6519dc:1586257168.89""]",20210625
